id,title,plot,genres,director,country,year,film_type,poster_url,slug
1,Tây Du Hàng Ma Truyện: Khoái Hoạt Thành,"Tại tòa nhà Hoa Viễn, quản lý sảnh Tô Tiểu Ninh đang trong giai đoạn quan trọng để trở thành nhân viên chính thức. Cùng lúc đó, chàng trai trẻ tài năng Kỷ Dục Hành, làm việc tại tầng 17, là nhân viên cốt cán đang nổi bật trong công việc. Họ có cùng nhu cầu là nhanh chóng kết hôn, và thế là hai con đường song song bắt đầu giao nhau. Trong mắt Đồ Tiểu Ninh, Kỷ Dục Hành là người bạn đời lý tưởng vượt xa mong đợi, còn trong mắt Kỷ Dục Hành, Đồ Tiểu Ninh là ánh sáng đã từng chiếu rọi cuộc đời anh, kết hôn với cô là sự lựa chọn duy nhất mà anh kiên định. Sau khi cả hai vừa đủ dũng khí để xác nhận quan hệ hôn nhân, Kỷ Dục Hành bất ngờ trở thành cấp trên của Đồ Tiểu Ninh. Họ, những người bạn học từ mười năm trước, giờ đây lại tình cờ có mối quan hệ công việc và vợ chồng, cùng nhau khám phá ý nghĩa của hôn nhân và cuộc sống.",Hài Hước,Wang Dao Tie,Trung Quốc,2025,Phim Lẻ,https://img.ophim.live/uploads/movies/tay-du-hang-ma-truyen-khoai-hoat-thanh-thumb.jpg,tay-du-hang-ma-truyen-khoai-hoat-thanh
2,Bên Trong Mây Trắng,"Lý Văn Thiên thi trượt đại học và đến thị trấn lập nghiệp. Nhờ sự giới thiệu của bạn thân, anh bắt đầu làm việc dưới trướng Bân ca. Cùng lúc đó, cha anh là Lý Trọng Sơn mất tích bí ẩn khi điều tra một vụ săn trộm. Sự sống chết của ông vẫn chưa được làm rõ. Trong quá trình lần theo những manh mối cha để lại, Văn Thiên phát hiện tất cả mọi chuyện đều có liên quan đến Bân ca. Săn trộm, giết người, giấu xác… Mỗi bí ẩn mở ra lại kéo theo một sự thật rợn người. Văn Thiên thề rằng anh phải tìm ra cha mình bằng mọi giá! Một bữa tiệc của tình yêu, thù hận và những màn báo thù nghẹt thở sắp bắt đầu!&nbsp;",Bí Ẩn|Hành Động|Hình Sự,Gen Li,Trung Quốc,2025,Phim Lẻ,https://img.ophim.live/uploads/movies/ben-trong-may-trang-thumb.jpg,ben-trong-may-trang
3,Đốt Lửa Tình,"Nhiều năm trước, mẹ của Thẩm Thanh Như bị trừng phạt dìm xuống hồ vì ngoại tình, còn cô thì mang danh ""con gái của kẻ lẳng lơ"", lớn lên trong sự nhục mạ và khinh thường của dân làng, mang theo mối hận của người mẹ đã khuất. Cho đến khi ""gã câm"" Thẩm Sính xuất hiện, hai người trở thành sự cứu rỗi duy nhất và là giới hạn của nhau. Ranh giới ""chị em"" mong manh ngăn cách giữa họ. Trước bao ánh mắt dòm ngó, Thẩm Thanh Như rưng rưng nước mắt và thề rằng sẽ không rung động. Bố ruột ép cô gả cho nhà họ Mạc để ""xung hỉ"", nhưng cậu chủ mắc bệnh lao của nhà họ Mạc lại qua đời ngay trước đêm tân hôn. Bà Mạc tức giận ép Thẩm Thanh Như tuẫn táng theo con trai.&nbsp;",Chính Kịch,Đang cập nhật,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/dot-lua-tinh-thumb.jpg,dot-lua-tinh
4,Du Hành Cùng Thơ Đường 1: Thánh Thơ Là Bạn Đồng Hành Của Tôi,"Bộ phim xoay quanh hành trình mộng ảo của cô gái hiện đại Sở Từ và thánh thơ Đỗ Phủ xuyên không tới. Vì một lần tai nạn rơi xuống nước, hai người bị trói buộc trở thành bạn đồng hành định mệnh. Sở Từ phải đợi Đỗ Phủ trở về thời cổ đại mới có thể giành lại tự do. Du ngoạn Thành Đô, về Thảo Đường, thăm từ đường Võ Hầu, lên núi Nga Mi...",Chính Kịch,Đang cập nhật,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/du-hanh-cung-tho-duong-1-thanh-tho-la-ban-dong-hanh-cua-toi-thumb.jpg,du-hanh-cung-tho-duong-1-thanh-tho-la-ban-dong-hanh-cua-toi
5,Trò Chơi Tình Ái,"Thiên kim của tập đoàn Viễn Phi, Hứa Nặc, từ nhỏ lớn lên trong sự nuông chiều của bố mẹ. Sau khi du học nước ngoài trở về, cô kinh hoàng phát hiện gia đình hạnh phúc ngày nào đã tan nát. Mẹ cô bị đuổi ra khỏi nhà tay trắng, còn người anh không cùng huyết thống được gia đình cô nuôi dưỡng từ nhỏ Thẩm Gia Hòa lại sắp thay cô thừa kế sản nghiệp. Mà vị hôn thê của bố cô chính là Bạch Hạ, bạn gái tin đồn trước đây của Thẩm Gia Hòa, đồng thời cũng là kẻ thù không đội trời chung ngày xưa của cô.Hứa Nặc nhìn thấu âm mưu của Thẩm Gia Hòa. Để giành lại Viễn Phi và vạch trần bộ mặt thật của hắn, cô tính toán kỹ lưỡng, từng bước thực hiện kế hoạch. Cô cố ý dụ dỗ Thẩm Gia Hòa lao vào một canh bạc mang tên ""trò chơi tình ái"", mở ra hành trình vừa yêu vừa hận giữa hai người.",Chính Kịch,Xi Dao,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/tro-choi-tinh-ai-2025-thumb.jpg,tro-choi-tinh-ai-2025
6,Con Tim Sắt Đá,"Tiêu Lãng, chủ tịch mới nhậm chức rầm rộ của Tập đoàn Chí Trăn, lại có thân phận thật bí mật. Anh từng là con trai duy nhất kế thừa Tập đoàn Chí Trăn, nhưng lại bị mẹ kế cướp mất toàn bộ mọi thứ vốn thuộc về mình. Tô Minh Vũ từng là ánh sáng duy nhất trong thời thơ ấu thê thảm của Tiêu Lãng. Tiêu Lãng phẫu thuật thẩm mỹ, quay về trả thù, nhưng tình yêu và sự kiên trì của Tô Minh Vũ đã hết lần này đến lần khác cứu rỗi thế giới tối tăm của anh.",Chính Kịch,Đang cập nhật,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/con-tim-sat-da-2025-thumb.jpg,con-tim-sat-da-2025
7,Patience,"""Patience"" là một loạt phim truyền hình thuộc thể loại chính kịch và hình sự, ra mắt vào ngày 8 tháng 1 năm 2025. Nhân vật chính, Patience Evans, do Ella Maisy Purvis thủ vai, là một phụ nữ tự kỷ làm việc trong bộ phận lưu trữ hồ sơ cảnh sát. Với niềm đam mê giải đố và tài năng đặc biệt trong lĩnh vực tội phạm học, cô có khả năng kết nối các manh mối theo cách mà người khác không thể. Khả năng độc đáo này giúp cô hỗ trợ đắc lực trong việc điều tra tội phạm.&nbsp;Loạt phim gồm 6 tập trong mùa đầu tiên, với sự tham gia của các diễn viên như Laura Fraser trong vai Thám tử Bea Metcalf và Mark Benton trong vai Calvin Baxter.",Chính Kịch|Hình Sự,Đang cập nhật,Anh,2025,Phim Bộ,https://img.ophim.live/uploads/movies/patience-thumb.jpg,patience
8,NCIS: Origins,"NCIS: Origins là phần tiền truyện của loạt phim truyền hình nổi tiếng NCIS, bộ phim tập trung vào hành trình của Leroy Jethro Gibbs thời trẻ, do Austin Stowell thủ vai, khi anh bắt đầu sự nghiệp tại Dịch vụ Điều tra Hải quân (NIS) vào năm 1991 tại Camp Pendleton.&nbsp;Đặc biệt, Mark Harmon, người đã thủ vai Gibbs trong suốt 19 mùa của NCIS, sẽ xuất hiện trong tập đầu của NCIS: Origins và đảm nhận vai trò người dẫn chuyện, mang lại sự kết nối giữa hai loạt phim.&nbsp;Bên cạnh đó, Kyle Schmid sẽ vào vai Mike Franks, người lãnh đạo nhóm và là nhân vật quen thuộc với người hâm mộ NCIS.Bộ phim hứa hẹn khám phá những câu chuyện chưa kể về Gibbs, mang đến cho khán giả cái nhìn sâu sắc về sự hình thành và phát triển của nhân vật biểu tượng này trong những ngày đầu sự nghiệp.",Chính Kịch|Hình Sự,Đang cập nhật,Âu Mỹ,2024,Phim Bộ,https://img.ophim.live/uploads/movies/ncis-origins-thumb.jpg,ncis-origins
9,Gió Xuân Châm Lửa Tình,"Vào những năm 80, Lục Nhiên, một nữ sinh viên thông minh và cứng đầu bị chú thím độc ác ép gả cho một tên lùn nghèo xấu, có con gái, lại còn là một kẻ bạo lực gia đình với sính lễ đắt đỏ! Với suy nghĩ số phận không phải do ông trời quyết định, Lục Nhiên không hề do dự bỏ trốn, không ngờ trên đường bỏ trốn cô lại vô tình gặp được một người đàn ông dịu dàng, cao lớn, đẹp trai và ngây thơ. Anh ta lại còn là người cô đang trốn kết hôn?&nbsp;",Chính Kịch,Đang cập nhật,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/gio-xuan-cham-lua-tinh-thumb.jpg,gio-xuan-cham-lua-tinh
10,Phỏng Trang,"Tư Dật Thần, con trai của Tử Thương Vương bị sát hại vào ngày đại hôn nên đã đổi tên thành Mộ Hàn và lên kế hoạch cẩn thận để lấy lòng tin của trưởng công chúa và trả thù cho gia đình mình. Vị hôn thê Hàng An Ninh của Tư Dật Thần nhầm tưởng Tư Dật Thần cũng đã bị giết nên lẻn vào phủ công chúa và đổi mặt với trưởng công chúa để tìm cơ hội trả thù. Hai con người che giấu danh tính dần dần nảy sinh tình cảm với nhau dưới một mái nhà, và sự vướng mắc yêu-ghét là điều khó tránh khỏi...",Chính Kịch,Văn Hồng Nghị,Trung Quốc,2025,Phim Bộ,https://img.ophim.live/uploads/movies/phong-trang-2025-thumb.jpg,phong-trang-2025
