id,title,slug,poster_url,director,country,year,film_type,plot,genres,poster_url,combined_features
1,TRỪ TÀ KÝ: KHỞI NGUYÊN HẮC ÁM,tru-ta-ky-khoi-nguyen-hac-am,https://img.ophim.live/uploads/movies/tru-ta-ky-khoi-nguyen-hac-am-thumb.jpg,김동철,Hàn Quốc,2025,Phim Hoạt Hình,"Cha sứ Park – một linh mục vốn là bác sĩ đã bị khai trừ sau khi thực hiện những nghi lễ trừ tà mà Giáo hội cho là cực đoan, bởi những người trong Giáo hội từ chối tin rằng những thế lực vô hình đang rình rập các linh hồn vô tội. Những tưởng cha Park an phận giải nghệ, một nhà sư đến từ ngôi chùa bí ẩn cất giữ những bí thuật bất ngờ tìm tới ông với một lời khẩn cầu: Bảo vệ một đứa trẻ tên Joon Hoo khỏi vị sư phụ đã hắc hóa của cậu bé. Cha Park buộc phải đối mặt với bóng ma quá khứ để giải cứu đứa trẻ và ngăn chặn bi kịch lặp lại.",Hành Động|Kinh Dị,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/tru-ta-ky-khoi-nguyen-hac-am-thumb.jpg,"TRỪ TÀ KÝ: KHỞI NGUYÊN HẮC ÁM Cha sứ Park – một linh mục vốn là bác sĩ đã bị khai trừ sau khi thực hiện những nghi lễ trừ tà mà Giáo hội cho là cực đoan, bởi những người trong Giáo hội từ chối tin rằng những thế lực vô hình đang rình rập các linh hồn vô tội. Những tưởng cha Park an phận giải nghệ, một nhà sư đến từ ngôi chùa bí ẩn cất giữ những bí thuật bất ngờ tìm tới ông với một lời khẩn cầu: Bảo vệ một đứa trẻ tên Joon Hoo khỏi vị sư phụ đã hắc hóa của cậu bé. Cha Park buộc phải đối mặt với bóng ma quá khứ để giải cứu đứa trẻ và ngăn chặn bi kịch lặp lại. Hành Động|Kinh Dị 김동철 Hàn Quốc Phim Hoạt Hình"
2,Mật Danh: Kế Toán 2,mat-danh-ke-toan-2,https://img.ophim.live/uploads/movies/mat-danh-ke-toan-2-thumb.jpg,Gavin O'Connor,Âu Mỹ,2025,Phim Lẻ,"Khi một người quen cũ bị sát hại, Wolff buộc phải giải quyết vụ án. Nhận ra các biện pháp cực đoan hơn là cần thiết, Wolff tuyển dụng người anh trai ghẻ lạnh và rất nguy hiểm của mình, Brax, để giúp đỡ. Hợp tác với Đặc vụ Kho bạc Marybeth Medina, họ phát hiện ra một âm mưu chết người, trở thành mục tiêu của một mạng lưới những kẻ giết người tàn nhẫn, những người sẽ không dừng lại ở bất cứ điều gì để giữ bí mật của họ bị chôn vùi.",Hành Động|Hình Sự,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/mat-danh-ke-toan-2-thumb.jpg,"Mật Danh: Kế Toán 2 Khi một người quen cũ bị sát hại, Wolff buộc phải giải quyết vụ án. Nhận ra các biện pháp cực đoan hơn là cần thiết, Wolff tuyển dụng người anh trai ghẻ lạnh và rất nguy hiểm của mình, Brax, để giúp đỡ. Hợp tác với Đặc vụ Kho bạc Marybeth Medina, họ phát hiện ra một âm mưu chết người, trở thành mục tiêu của một mạng lưới những kẻ giết người tàn nhẫn, những người sẽ không dừng lại ở bất cứ điều gì để giữ bí mật của họ bị chôn vùi. Hành Động|Hình Sự Gavin O'Connor Âu Mỹ Phim Lẻ"
3,Quái Thú Đại Náo Sở Thú,quai-thu-dai-nao-so-thu,https://img.ophim.live/uploads/movies/quai-thu-dai-nao-so-thu-thumb.jpg,Rodrigo Perez-Castro,Pháp,2025,Phim Hoạt Hình,A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.,Hài Hước|Khoa Học|Kinh Dị|Phiêu Lưu|Viễn Tưởng,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/quai-thu-dai-nao-so-thu-thumb.jpg,Quái Thú Đại Náo Sở Thú A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus. Hài Hước|Khoa Học|Kinh Dị|Phiêu Lưu|Viễn Tưởng Rodrigo Perez-Castro Pháp Phim Hoạt Hình
4,Sư Thành Sơn Hải,su-thanh-son-hai,https://img.ophim.live/uploads/movies/su-thanh-son-hai-thumb.jpg,巨兴茂,Trung Quốc,2025,Phim Bộ,"In the late 1940s, the Shanhai Gang rises as a key force in the local Chinese community. Retired leader Cheng Hui returns to rebuild the gang amid external threats, internal power struggles, and colonial interference, shaping its fight for survival and legacy.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/su-thanh-son-hai-thumb.jpg,"Sư Thành Sơn Hải In the late 1940s, the Shanhai Gang rises as a key force in the local Chinese community. Retired leader Cheng Hui returns to rebuild the gang amid external threats, internal power struggles, and colonial interference, shaping its fight for survival and legacy. Chính Kịch 巨兴茂 Trung Quốc Phim Bộ"
5,Ghế Trống,ghe-trong,https://img.ophim.live/uploads/movies/ghe-trong-thumb.jpg,Kyle Thrash,Anh,2025,Phim Lẻ,"Được WhatsApp tài trợ. Một cuộc gọi làm thay đổi cuộc đời của Kimi Antonelli: Mercedes-AMG PETRONAS chọn cậu thi đấu ở F1, giành một trong số vỏn vẹn 20 suất trên toàn cầu.&nbsp;",Chính Kịch|Tài Liệu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ghe-trong-thumb.jpg,"Ghế Trống Được WhatsApp tài trợ. Một cuộc gọi làm thay đổi cuộc đời của Kimi Antonelli: Mercedes-AMG PETRONAS chọn cậu thi đấu ở F1, giành một trong số vỏn vẹn 20 suất trên toàn cầu.&nbsp; Chính Kịch|Tài Liệu Kyle Thrash Anh Phim Lẻ"
6,Phi Nước Kiệu Đến Ngôi Vương,phi-nuoc-kieu-den-ngoi-vuong,https://img.ophim.live/uploads/movies/phi-nuoc-kieu-den-ngoi-vuong-thumb.jpg,Đang cập nhật,Anh,2025,Phim Bộ,"Loạt phim tài liệu đầy cảm hứng này theo chân các nài ngựa, HLV và chủ ngựa chinh phục danh hiệu và vinh quang tại ba giải đua Triple Crown của làng đua ngựa thuần chủng.&nbsp;",Tài Liệu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/phi-nuoc-kieu-den-ngoi-vuong-thumb.jpg,"Phi Nước Kiệu Đến Ngôi Vương Loạt phim tài liệu đầy cảm hứng này theo chân các nài ngựa, HLV và chủ ngựa chinh phục danh hiệu và vinh quang tại ba giải đua Triple Crown của làng đua ngựa thuần chủng.&nbsp; Tài Liệu Đang cập nhật Anh Phim Bộ"
7,Kế Thừa (Phần 3),ke-thua-phan-3,https://img.ophim.live/uploads/movies/ke-thua-phan-3-thumb.jpg,Đang cập nhật,Âu Mỹ,2025,Phim Bộ,"Bosch: Legacy - Phần 3 là mùa tiếp theo của series phim tội phạm hấp dẫn, nối tiếp câu chuyện từ phần 1 và dựa trên nhân vật Harry Bosch của tiểu thuyết gia Michael Connelly. Phần 2 tiếp tục theo chân Harry Bosch (Titus Welliver), giờ đây là một thám tử tư sau khi rời LAPD, cùng với cộng sự Honey Chandler (Mimi Rogers) và con gái Maddie Bosch (Madison Lintz).&nbsp;Trong phần này, Bosch đối mặt với những vụ án phức tạp hơn, đan xen giữa công lý và những bí mật đen tối từ quá khứ. Maddie, giờ là một nữ cảnh sát mới vào nghề, cũng phải đối diện với những thử thách nguy hiểm trong công việc, trong khi Chandler tiếp tục đấu tranh trong hệ thống pháp lý. Cốt truyện kịch tính, kết hợp giữa điều tra tội phạm, drama gia đình và những góc khuất của Los Angeles, mang đến một mùa phim đầy cảm xúc và gay cấn.&nbsp;Bosch: Legacy - Phần 3 nổi bật với diễn xuất xuất sắc, kịch bản chặt chẽ và không khí đặc trưng lạnh lẽo, căng thẳng, nhiều góc khuất đạo đức, và nhân vật chính không hoàn toàn là người tốt. Phần phim này hứa hẹn làm hài lòng người hâm mộ series gốc Bosch và khán giả yêu thích thể loại tội phạm.",Chính Kịch|Hình Sự,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ke-thua-phan-3-thumb.jpg,"Kế Thừa (Phần 3) Bosch: Legacy - Phần 3 là mùa tiếp theo của series phim tội phạm hấp dẫn, nối tiếp câu chuyện từ phần 1 và dựa trên nhân vật Harry Bosch của tiểu thuyết gia Michael Connelly. Phần 2 tiếp tục theo chân Harry Bosch (Titus Welliver), giờ đây là một thám tử tư sau khi rời LAPD, cùng với cộng sự Honey Chandler (Mimi Rogers) và con gái Maddie Bosch (Madison Lintz).&nbsp;Trong phần này, Bosch đối mặt với những vụ án phức tạp hơn, đan xen giữa công lý và những bí mật đen tối từ quá khứ. Maddie, giờ là một nữ cảnh sát mới vào nghề, cũng phải đối diện với những thử thách nguy hiểm trong công việc, trong khi Chandler tiếp tục đấu tranh trong hệ thống pháp lý. Cốt truyện kịch tính, kết hợp giữa điều tra tội phạm, drama gia đình và những góc khuất của Los Angeles, mang đến một mùa phim đầy cảm xúc và gay cấn.&nbsp;Bosch: Legacy - Phần 3 nổi bật với diễn xuất xuất sắc, kịch bản chặt chẽ và không khí đặc trưng lạnh lẽo, căng thẳng, nhiều góc khuất đạo đức, và nhân vật chính không hoàn toàn là người tốt. Phần phim này hứa hẹn làm hài lòng người hâm mộ series gốc Bosch và khán giả yêu thích thể loại tội phạm. Chính Kịch|Hình Sự Đang cập nhật Âu Mỹ Phim Bộ"
8,Cuộc Sống Của Hình Cảnh,cuoc-song-cua-hinh-canh,https://img.ophim.live/uploads/movies/cuoc-song-cua-hinh-canh-thumb.jpg,Gao Qunshu,Trung Quốc,2025,Phim Bộ,"Để đấu tranh chống tội phạm và thực hiện ước mơ làm cảnh sát, chàng trai trẻ Lưu Tử Minh mang trong mình nhiệt huyết đã đến làm việc tại một đội cảnh sát hình sự thuộc Cục Công an thành phố. Tuy nhiên, công việc rà soát vụn vặt và nhàm chán khiến anh cảm thấy khô khan. Trong quá trình phá án thực tế tại hiện trường, Lưu Tử Minh ngày càng trở nên điềm tĩnh và dày dạn kinh nghiệm, dẫn dắt các học trò của mình tiếp tục phá giải các loại vụ án. Sau khi trải qua sự tôi luyện và mài giũa từ hàng loạt vụ án lớn, trọng án, Lưu Tử Minh đã có cái nhìn sâu sắc hơn về thiện và ác trong bản tính con người, trưởng thành thành một đội trưởng cảnh sát hình sự xuất sắc. Sự chỉ dạy tận tình không giấu giếm của sư phụ, lòng tin được vun đắp qua những lần vào sinh ra tử cùng đồng đội đã giúp anh thực sự nhận thức được trọng trách trên vai người cảnh sát hình sự. Anh cảm thấy vô cùng vinh dự khi được làm công việc cảnh sát hình sự, góp phần bảo vệ sự ổn định xã hội.&nbsp;",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/cuoc-song-cua-hinh-canh-thumb.jpg,"Cuộc Sống Của Hình Cảnh Để đấu tranh chống tội phạm và thực hiện ước mơ làm cảnh sát, chàng trai trẻ Lưu Tử Minh mang trong mình nhiệt huyết đã đến làm việc tại một đội cảnh sát hình sự thuộc Cục Công an thành phố. Tuy nhiên, công việc rà soát vụn vặt và nhàm chán khiến anh cảm thấy khô khan. Trong quá trình phá án thực tế tại hiện trường, Lưu Tử Minh ngày càng trở nên điềm tĩnh và dày dạn kinh nghiệm, dẫn dắt các học trò của mình tiếp tục phá giải các loại vụ án. Sau khi trải qua sự tôi luyện và mài giũa từ hàng loạt vụ án lớn, trọng án, Lưu Tử Minh đã có cái nhìn sâu sắc hơn về thiện và ác trong bản tính con người, trưởng thành thành một đội trưởng cảnh sát hình sự xuất sắc. Sự chỉ dạy tận tình không giấu giếm của sư phụ, lòng tin được vun đắp qua những lần vào sinh ra tử cùng đồng đội đã giúp anh thực sự nhận thức được trọng trách trên vai người cảnh sát hình sự. Anh cảm thấy vô cùng vinh dự khi được làm công việc cảnh sát hình sự, góp phần bảo vệ sự ổn định xã hội.&nbsp; Chính Kịch Gao Qunshu Trung Quốc Phim Bộ"
9,Lăng Nhăng,lang-nhang,https://img.ophim.live/uploads/movies/lang-nhang-thumb.jpg,Rodante Pajemna Jr.,Philippines,2024,Phim Lẻ,"Một người phụ nữ giàu có kết hôn với một người lăng nhăng quyến rũ, người đang âm mưu với bạn thân của vợ anh ta. Khi mọi tiết lộ được phơi bày, tình thế bất ngờ thay đổi.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/lang-nhang-thumb.jpg,"Lăng Nhăng Một người phụ nữ giàu có kết hôn với một người lăng nhăng quyến rũ, người đang âm mưu với bạn thân của vợ anh ta. Khi mọi tiết lộ được phơi bày, tình thế bất ngờ thay đổi. Chính Kịch Rodante Pajemna Jr. Philippines Phim Lẻ"
10,Kẻ Thù Thân Yêu,ke-thu-than-yeu,https://img.ophim.live/uploads/movies/ke-thu-than-yeu-thumb.jpg,黄天仁,Trung Quốc,2025,Phim Bộ,"Câu chuyện kể về La Mạn và Trần Khải Tây, hai người bạn thân từng có xuất phát điểm tương đồng và ngang tài ngang sức. Vài năm sau khi tốt nghiệp, họ gặp lại nhau nhưng hoàn cảnh lại hoàn toàn trái ngược. La Mạn, một biên kịch đã có chút danh tiếng, không hài lòng với thành tựu sự nghiệp, hy vọng thông qua hôn nhân để nâng tầm cuộc sống, đạt được địa vị ngang hàng với Trần Khải Tây. Trong khi đó, Trần Khải Tây, làm dâu hào môn lại phải đối mặt với sự chế nhạo, mỉa mai của La Mạn. Dù cũng có phản kháng nhưng cô lại đang mắc kẹt sâu trong vũng lầy hôn nhân, và việc cứu vãn tình yêu cùng cuộc hôn nhân trở nên cấp bách hơn bao giờ hết. Vào lúc mối quan hệ giữa hai người đầy sóng ngầm, Chung Khuynh Thành trẻ trung xinh đẹp xuất hiện và trở thành nhân vật mấu chốt trong cuộc cạnh tranh giữa họ...",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ke-thu-than-yeu-thumb.jpg,"Kẻ Thù Thân Yêu Câu chuyện kể về La Mạn và Trần Khải Tây, hai người bạn thân từng có xuất phát điểm tương đồng và ngang tài ngang sức. Vài năm sau khi tốt nghiệp, họ gặp lại nhau nhưng hoàn cảnh lại hoàn toàn trái ngược. La Mạn, một biên kịch đã có chút danh tiếng, không hài lòng với thành tựu sự nghiệp, hy vọng thông qua hôn nhân để nâng tầm cuộc sống, đạt được địa vị ngang hàng với Trần Khải Tây. Trong khi đó, Trần Khải Tây, làm dâu hào môn lại phải đối mặt với sự chế nhạo, mỉa mai của La Mạn. Dù cũng có phản kháng nhưng cô lại đang mắc kẹt sâu trong vũng lầy hôn nhân, và việc cứu vãn tình yêu cùng cuộc hôn nhân trở nên cấp bách hơn bao giờ hết. Vào lúc mối quan hệ giữa hai người đầy sóng ngầm, Chung Khuynh Thành trẻ trung xinh đẹp xuất hiện và trở thành nhân vật mấu chốt trong cuộc cạnh tranh giữa họ... Chính Kịch 黄天仁 Trung Quốc Phim Bộ"
